Requirement_ID,Content,Header,Qualification_Method,Artifact_Type,System_Requirement_State,Assignee,Review_Comment,Primary_Discipline,Requirement_Type,System_Elements,ASIL_Rating,Cybersecurity,Key_Requirement,Legal_Certification_Requirement,Variant,Verification_Method,Verification_Owner
Req001,"TCU shall turn ON when driver turn ON KL30 & KL15, and TCU shall turn OFF when driver turn OFF KL30 or KL15. ",Clamp control ,TCU or Modem supplier is responsible for providing the test result to Brand for approval,System Requirement,Approved,ABC,None,HW-SW,System,Clamp control,A,FALSE,TRUE,N/A,XYZ_Model_2025,H/W Integration,Modem Funcational team
Req002,TCU shall start searching for corresponding eNodeB cells when KL30 & KL15 is ON,Network selection,TCU or Momdem Connectivity team supplier is responsible for providing the test result to Brand for approval,System Requirement,Approved,XYZ,None,HW-SW,System,Clamp control,A,FALSE,TRUE,N/A,XYZ_Model_2025,H/W Integration,Modem Funcational team
Req003,TCU shall operate on default bootstrap profile when the device is roaming it in the home country,Network selection,Connectivity team supplier is responsible for providing the test result to Brand for approval,Functional Requirement,Approved,XYZ,None,SW,Functional,Connectivity,A,TRUE,TRUE,TRUE,XYZ_Model_2025,SIT,Connecitivity Team
Req004,TCU should perform network registration to the primary MNO based on the current profile on the eSIM,Network selection,Connectivity team supplier is responsible for providing the test result to Brand for approval,Functional Requirement,Approved,XYZ,None,SW,Functional,Connectivity,A,TRUE,TRUE,TRUE,XYZ_Model_2025,SIT,Connecitivity Team
Req005,TCU should attached to it primary network based on MCC/MNC combination of it IMSI ,Network selection,Connectivity team supplier is responsible for providing the test result to Brand for approval,Functional Requirement,Approved,XYZ,None,SW,Functional,Connectivity,A,TRUE,TRUE,TRUE,XYZ_Model_2025,SIT,Connecitivity Team
Req006,TCU shall perform Operation profile download when the device is roaming in the foreign country also depending on the OEM and MNO contracts.,Network selection,Connectivity team supplier is responsible for providing the test result to Brand for approval,Functional Requirement,Approved,XYZ,None,SW,Functional,Connectivity,A,TRUE,TRUE,TRUE,XYZ_Model_2025,SIT,Connecitivity Team
Req007,TCU shall start searching for corresponding eNodeB cells when KL30 & KL15 is ON,Network selection,TCU or Momdem Connectivity team supplier is responsible for providing the test result to Brand for approval,System Requirement,Approved,XYZ,None,HW-SW,System,Clamp control,A,FALSE,TRUE,N/A,XYZ_Model_2025,H/W Integration,Modem Funcational team
Req008,TCU shall operate on default bootstrap profile when the device is roaming it in the home country,Network selection,Connectivity team supplier is responsible for providing the test result to Brand for approval,Functional Requirement,Approved,XYZ,None,SW,Functional,Connectivity,A,TRUE,TRUE,TRUE,XYZ_Model_2025,SIT,Connecitivity Team
Req009,TCU should perform network registration to the primary MNO based on the current profile on the eSIM,Network selection,Connectivity team supplier is responsible for providing the test result to Brand for approval,Functional Requirement,Approved,XYZ,None,SW,Functional,Connectivity,A,TRUE,TRUE,TRUE,XYZ_Model_2025,SIT,Connecitivity Team
Req010,TCU should attached to it primary network based on MCC/MNC combination of it IMSI ,Network selection,Connectivity team supplier is responsible for providing the test result to Brand for approval,Functional Requirement,Approved,XYZ,None,SW,Functional,Connectivity,A,TRUE,TRUE,TRUE,XYZ_Model_2025,SIT,Connecitivity Team
